"Date","Open","High","Low","Close","Volume","Adj Close"
2004-08-19 02:00:00,100,104,96.0,100.34,22351900,100.34
2004-08-20 02:00:00,101,109,101,108.31,11428600,108.31
2004-08-23 02:00:00,111,113,109,109.4,9137200,109.4
2004-08-24 02:00:00,111,112,104,104.87,7631300,104.87
2004-08-25 02:00:00,105,108,104,106.0,4598900,106.0
2004-08-26 02:00:00,105,108,105,107.91,3551000,107.91
2004-08-27 02:00:00,108,109,106,106.15,3109000,106.15
2004-08-30 02:00:00,105,105,102,102.01,2601000,102.01
2004-08-31 02:00:00,102,104,102,102.37,2461400,102.37
2004-09-01 02:00:00,103,103,99.7,100.25,4573700,100.25
2004-09-02 02:00:00,99.2,102,98.9,101.51,7566900,101.51
2004-09-03 02:00:00,101,102,99.3,100.01,2578800,100.01
2004-09-07 02:00:00,101,102,99.6,101.58,2926700,101.58
2004-09-08 02:00:00,101,103,101,102.3,2495300,102.3
2004-09-09 02:00:00,103,103,101,102.31,2032900,102.31
2004-09-10 02:00:00,102,107,101,105.33,4353800,105.33
2004-09-13 02:00:00,107,108,106,107.5,3926000,107.5
2004-09-14 02:00:00,107,112,107,111.49,5419900,111.49
2004-09-15 02:00:00,111,114,110,112.0,5361900,112.0
2004-09-16 02:00:00,112,116,112,113.97,4637800,113.97
2004-09-17 02:00:00,114,117,114,117.49,4741000,117.49
2004-09-20 02:00:00,117,122,117,119.36,5319700,119.36
2004-09-21 02:00:00,120,120,118,117.84,3618000,117.84
2004-09-22 02:00:00,117,120,117,118.38,3794400,118.38
2004-09-23 02:00:00,119,123,117,120.82,4272100,120.82
2004-09-24 02:00:00,121,124,120,119.83,4566300,119.83
2004-09-27 02:00:00,120,121,118,118.26,3536600,118.26
2004-09-28 02:00:00,121,127,120,126.86,8473000,126.86
2004-09-29 02:00:00,127,135,126,131.08,15273500,131.08
2004-09-30 02:00:00,130,132,129,129.6,6885900,129.6
2004-10-01 02:00:00,131,134,129,132.58,7570000,132.58
2004-10-04 02:00:00,135,137,134,135.06,6517900,135.06
2004-10-05 02:00:00,135,139,132,138.37,7494100,138.37
2004-10-06 02:00:00,138,138,136,137.08,6697400,137.08
2004-10-07 02:00:00,137,140,137,138.85,7064600,138.85
2004-10-08 02:00:00,139,140,137,137.73,5540300,137.73
2004-10-11 02:00:00,137,139,134,135.26,5241300,135.26
2004-10-12 02:00:00,134,138,133,137.4,5838600,137.4
2004-10-13 02:00:00,143,144,140,140.9,9893000,140.9
2004-10-14 02:00:00,141,142,139,142.0,5226300,142.0
2004-10-15 02:00:00,145,146,142,144.11,6604000,144.11
2004-10-18 02:00:00,143,149,141,149.16,7025200,149.16
2004-10-19 02:00:00,151,152,147,147.94,9064000,147.94
2004-10-20 02:00:00,148,149,140,140.49,11372700,140.49
2004-10-21 02:00:00,144,150,142,149.38,14589500,149.38
2004-10-22 02:00:00,171,180,164,172.43,36891900,172.43
2004-10-25 02:00:00,176,194,173,187.4,32764200,187.4
2004-10-26 02:00:00,186,193,180,181.8,22307100,181.8
2004-10-27 02:00:00,183,190,182,185.97,13356500,185.97
2004-10-28 02:00:00,187,194,186,193.3,14846800,193.3
2004-10-29 02:00:00,199,200,191,190.64,21162500,190.64
2004-11-01 01:00:00,194,198,191,196.03,12224900,196.03
2004-11-02 01:00:00,199,199,193,194.87,11346300,194.87
2004-11-03 01:00:00,198,202,191,191.67,13888700,191.67
2004-11-04 01:00:00,188,190,183,184.7,14409600,184.7
2004-11-05 01:00:00,182,182,169,169.35,19833100,169.35
2004-11-08 01:00:00,171,175,169,172.55,11191800,172.55
2004-11-09 01:00:00,174,175,165,168.7,11064200,168.7
2004-11-10 01:00:00,171,173,166,167.86,10644000,167.86
2004-11-11 01:00:00,169,184,168,183.02,14985500,183.02
2004-11-12 01:00:00,185,190,177,182.0,16746100,182.0
2004-11-15 01:00:00,180,188,179,184.87,11901500,184.87
2004-11-16 01:00:00,178,179,171,172.54,20917400,172.54
